Roll number,Rarity,Operator
45,3,Vanilla
46,4,Perfumer
47,5,Waai Fu
48,3,Hibiscus
49,4,Sussurro
50,4,Sussurro
51,4,Myrrh
52,4,Beanstalk
53,3,Melantha
54,3,Midnight
55,5,Franka
56,5,Proviso
57,6,Mlynar
1,3,Plume
2,3,Beagle
3,4,Earthspirit
4,4,Frostleaf
5,4,Click
6,4,Gravel
7,4,Greyy
8,4,Shirayuki
9,4,Myrtle
10,5,Proviso
11,3,Catapult
12,3,Plume
13,3,Popukar
14,3,Orchid
15,3,Catapult
16,4,Haze
17,3,Hibiscus
18,3,Hibiscus
19,3,Beagle
20,3,Spot
21,3,Lava
22,4,Beanstalk
23,3,Cardigan
24,4,Indigo
25,3,Ansel
26,4,Perfumer
27,4,Scavenger
28,4,Jaye
29,3,Vanilla
30,3,Cardigan
31,3,Beagle
32,3,Fang
33,3,Popukar
34,3,Hibiscus
35,3,Steward
36,4,Haze
37,4,Cutter
38,4,Cutter
39,4,Beanstalk
40,4,Deepcolor
41,4,Shirayuki
42,4,Deepcolor
43,3,Beagle
44,3,Fang
45,4,Perfumer
46,4,Myrtle
47,4,Meteor
48,4,Ambriel
49,5,Mulberry
50,4,Utage
51,3,Spot
52,4,Pinecone
53,6,Ebenholz
54,4,Chestnut
55,4,Utage
56,3,Popukar
57,3,Spot
58,3,Hibiscus
59,3,Kroos
60,4,Vermeil
61,4,Aciddrop
62,3,Melantha
63,3,Midnight
64,3,Plume
65,3,Cardigan
66,5,Proviso
67,5,Proviso
68,3,Orchid
69,4,Vermeil
70,4,Utage
71,4,Roberta
72,4,Rope
73,3,Vanilla
74,3,Steward
75,4,Myrtle
76,4,Jackie
77,4,Cuora
78,3,Midnight
79,4,Utage
80,4,Earthspirit
81,3,Midnight
82,4,Vigna
83,3,Popukar
84,4,Pinecone
85,3,Fang
86,3,Fang
87,4,Indigo
88,3,Orchid
89,3,Catapult
90,4,Vigna
91,4,Utage
92,3,Kroos
93,4,Meteor
94,4,Sussurro
95,4,Beehunter
96,4,Beehunter
97,3,Midnight
98,5,Proviso
99,4,Beehunter
100,4,Beanstalk
101,3,Cardigan
102,4,Cutter
103,3,Midnight
104,3,Beagle
105,3,Melantha
106,4,Vigna
107,4,Perfumer
108,3,Ansel
109,4,Deepcolor
110,3,Popukar
111,3,Vanilla
112,3,Hibiscus
113,4,Scavenger
114,3,Hibiscus
115,6,Fiamemtta
116,4,Earthspirit
117,3,Lava
118,3,Midnight
119,4,Gummy
120,4,Ambriel
121,3,Popukar
122,4,Meteor
123,3,Beagle
124,5,Firewatch
125,4,Rope
126,4,Shirayuki
127,4,Cutter
128,3,Melantha
129,3,Orchid
130,4,Chestnut
131,3,Plume
132,4,Podenco
133,3,Orchid
134,4,Earthspirit
135,3,Kroos
136,4,Rope
137,6,Mlynar
1,4,Jessica
2,4,Matoimaru
3,5,Swire
4,4,Vermeil
5,4,Indigo
6,4,May
7,3,Melantha
8,3,Ansel
9,3,Hibiscus
10,6,Mizuki
11,3,Lava
12,4,Cutter
13,4,Matoimaru
14,4,Sussurro
15,4,Vigna
16,4,Perfumer
17,4,Perfumer
18,4,Mousse
19,3,Fang
20,4,Ambriel
21,4,Jessica
22,3,Fang
23,4,Shaw
24,3,Lava
25,4,Doberman
26,3,Melantha
27,3,Kroos
28,4,Indigo
29,3,Beagle
30,4,Vigna
31,4,Scavenger
32,4,Beanstalk
33,4,Jackie
34,4,Click
35,3,Ansel
36,3,Cardigan
37,3,Vanilla
38,4,Pinecone
39,4,Matterhorn
40,5,Franka
41,3,Popukar
42,4,Jackie
43,3,Lava
44,5,Proviso
45,3,Steward
46,4,May
47,4,Frostleaf
48,4,Pinecone
49,3,Kroos
50,3,Hibiscus
51,4,Cutter
52,3,Steward
53,4,Gravel
54,4,Gravel
55,4,Pinecone
56,3,Plume
57,5,Chiave
58,4,Aciddrop
59,3,Steward
60,4,Myrtle
61,4,Chestnut
62,4,Pinecone
63,4,Aciddrop
64,4,Cutter
65,4,Vermeil
66,5,Proviso
67,3,Plume
68,3,Orchid
69,4,Ambriel
70,6,Thorns
71,5,Franka
72,3,Catapult
73,3,Spot
74,4,Gravel
75,4,Deepcolor
76,4,Jackie
77,3,Kroos
78,3,Orchid
79,3,Melantha
80,3,Orchid
81,4,Deepcolor
82,4,Vermeil
83,4,Beehunter
84,4,Meteor
85,4,Podenco
86,3,Midnight
87,4,Vermeil
88,4,Jaye
89,3,Lava
90,3,Spot
91,3,Cardigan
92,4,Jessica
93,3,Fang
94,3,Orchid
95,4,May
96,4,Matterhorn
97,3,Popukar
98,3,Orchid
99,3,Spot
100,3,Plume
101,4,Rope
102,3,Lava
103,4,Earthspirit
104,4,Utage
105,4,Podenco
106,4,Earthspirit
107,4,Jaye
108,3,Hibiscus
109,3,Cardigan
110,3,Steward
111,3,Steward
112,3,Popukar
113,4,Cutter
114,4,Chestnut
115,4,Perfumer
116,3,Popukar
117,4,Click
118,4,Shirayuki
119,5,Franka
120,5,Franka
121,4,Meteor
122,4,Sussurro
123,4,Podenco
124,3,Ansel
125,4,Utage
126,4,Jackie
127,4,Earthspirit
128,4,Matoimaru
129,3,Vanilla
130,3,Popukar
131,3,Catapult
132,4,Shirayuki
133,4,Deepcolor
134,4,Aciddrop
135,5,Quercus
136,3,Catapult
137,3,Plume
138,4,Cutter
139,4,Rope
140,3,Melantha
141,4,Arene
142,3,Ansel
143,4,Earthspirit
144,4,Arene
145,3,Plume
146,3,Midnight
147,4,Arene
148,4,Mousse
149,3,Fang
150,3,Spot
151,4,Ambriel
152,4,Shirayuki
153,4,Jaye
154,5,Franka
155,4,Beanstalk
156,4,Aciddrop
157,4,Haze
158,4,Greyy
159,6,Gnosis
160,4,Beanstalk
161,4,Chestnut
162,4,Click
163,3,Plume
164,4,Myrrh
165,3,Fang
166,3,Steward
167,5,Flint
168,3,Orchid
169,4,Scavenger
170,3,Lava
171,3,Vanilla
172,5,Lappland
173,4,Jaye
174,3,Orchid
175,4,Cuora
176,3,Lava
177,5,Proviso
178,4,Cutter
179,4,Deepcolor
180,4,Rope
181,3,Cardigan
182,4,Chestnut
183,4,Scavenger
184,3,Orchid
185,4,Meteor
186,4,Ambriel
187,4,Click
188,6,Mlynar
1,5,Franka
2,4,Scavenger
3,3,Lava
4,3,Melantha
5,4,Jackie
6,3,Plume
7,4,Chestnut
8,4,May
9,4,Perfumer
10,4,Jessica
11,3,Vanilla
12,4,Cutter
13,6,Mlynar
1,3,Lava
2,3,Beagle
3,4,Gravel
4,4,Matterhorn
5,3,Cardigan
6,3,Spot
7,3,Hibiscus
8,4,Matterhorn
9,3,Beagle
10,5,Meteorite
11,4,Shaw
12,4,Myrtle
13,5,Proviso
14,3,Beagle
15,4,Sussurro
16,4,Vermeil
17,4,Deepcolor
18,4,Beehunter
19,3,Vanilla
20,4,Cutter
21,4,Jessica
22,4,Utage
23,3,Plume
24,4,Scavenger
25,3,Midnight
26,4,Beehunter
27,3,Melantha
28,3,Midnight
29,3,Spot
30,3,Plume
31,3,Midnight
32,3,Lava
33,4,Frostleaf
34,3,Spot
35,3,Beagle
36,4,Jessica
37,4,Jessica
38,3,Ansel
39,5,Proviso
40,4,Beanstalk
41,4,Ambriel
42,4,Earthspirit
43,3,Beagle
44,5,Kazemaru
45,5,Mayer
46,4,Beanstalk
47,5,Sora
48,3,Kroos
49,4,Rope
50,4,Sussurro
51,3,Hibiscus
52,3,Spot
53,6,Mlynar
1,3,Vanilla
2,4,Perfumer
3,4,Vigna
4,6,Mlynar
1,3,Spot
2,3,Steward
3,4,Gummy
4,4,Indigo
5,3,Fang
6,4,Vigna
7,4,Shaw
8,4,Pinecone
9,4,Mousse
10,5,Ptilopsis
11,4,Click
12,4,Chestnut
13,5,Warfarin
14,3,Plume
15,3,Fang
16,4,Matoimaru
17,4,Meteor
18,3,Vanilla
19,4,Rope
20,4,Jessica
21,3,Beagle
22,4,Chestnut
23,3,Popukar
24,4,Matterhorn
25,4,Gravel
26,3,Fang
27,4,Beanstalk
28,4,Sussurro
29,3,Ansel
30,3,Vanilla
31,3,Beagle
32,4,Vigna
33,4,Ambriel
34,3,Catapult
35,4,Vigna
36,4,Perfumer
37,3,Melantha
38,3,Vanilla
39,4,Rope
40,3,Catapult
41,4,Doberman
42,3,Kroos
43,3,Plume
44,4,Utage
45,3,Popukar
46,4,Gummy
47,3,Lava
48,4,May
49,4,Myrrh
50,4,Beehunter
51,5,Asthesia
52,4,Earthspirit
53,6,Ifrit
54,4,Cuora
55,3,Popukar
56,3,Plume
57,3,Orchid
58,4,Meteor
59,4,Ambriel
60,4,Sussurro
61,4,Beehunter
62,4,Beanstalk
63,3,Fang
64,5,Franka
65,4,Roberta
66,4,Ambriel
67,3,Steward
68,3,Beagle
69,3,Midnight
70,4,Scavenger
71,4,Podenco
72,3,Fang
73,3,Spot
74,4,Vermeil
75,4,Scavenger
76,3,Catapult
77,3,Melantha
78,4,Scavenger
79,4,Pinecone
80,5,Croissant
81,3,Plume
82,3,Midnight
83,4,Shaw
84,3,Hibiscus
85,4,Jessica
86,4,Gummy
87,3,Fang
88,4,Ambriel
89,3,Vanilla
90,3,Kroos
91,4,Earthspirit
92,3,Vanilla
93,5,Proviso
94,3,Cardigan
95,3,Fang
96,3,Lava
97,4,Doberman
98,3,Beagle
99,3,Kroos
100,3,Spot
101,4,Gravel
102,3,Fang
103,4,Matoimaru
104,3,Midnight
105,3,Steward
106,4,Cuora
107,4,Sussurro
108,4,Sussurro
109,3,Kroos
110,4,Sussurro
111,4,Shirayuki
112,4,Cutter
113,4,Haze
114,4,Indigo
115,3,Orchid
116,4,Pinecone
117,4,Vermeil
118,3,Plume
119,3,Midnight
120,4,Myrrh
121,3,Fang
122,4,Vigna
123,3,Hibiscus
124,5,Blue Poison
125,4,Myrrh
126,5,Waai Fu
127,5,Proviso
128,4,Jessica
129,3,Midnight
130,3,Fang
131,4,Deepcolor
132,3,Lava
133,3,Melantha
134,4,Jaye
135,5,Zima
136,4,Jackie
137,4,Shirayuki
138,3,Plume
139,3,Plume
140,4,Myrrh
141,3,Fang
142,4,Jackie
143,3,Vanilla
144,3,Hibiscus
145,4,Pinecone
146,3,Cardigan
147,3,Beagle
148,4,Myrrh
149,5,Proviso
150,4,Meteor
151,5,Franka
152,5,Nightmare
153,3,Hibiscus
154,3,Kroos
155,4,Beehunter
156,4,Matoimaru
157,3,Fang
158,4,Myrtle
159,4,Shaw
160,3,Vanilla
161,4,Shaw
162,3,Kroos
163,3,Spot
164,4,Jaye
165,3,Fang
166,4,Arene
167,4,Myrtle
168,4,Pinecone
169,4,Utage
170,4,Beehunter
171,3,Ansel
172,4,Arene
173,3,Hibiscus
174,4,Beanstalk
175,4,May
176,3,Popukar
177,4,Ambriel
178,3,Ansel
179,4,Frostleaf
180,3,Hibiscus
181,4,Sussurro
182,3,Beagle
183,5,Meteorite
184,4,Utage
185,4,Utage
186,4,Gummy
187,3,Spot
188,4,Chestnut
189,4,Mousse
190,3,Ansel
191,4,Click
192,4,Pinecone
193,6,Irene
194,3,Beagle
195,4,Vermeil
196,4,Jaye
197,3,Midnight
198,3,Ansel
199,4,Jessica
200,4,Jessica
